"record_type_cd","client_nbr","group_slct_id","extraction_dt","branch_cd","account_cd","currency_cd","transaction_dt","security_adp_nbr","type_tran_ch_cd","type_account_cd","seq_nbr","txt_line_nbr","action","desc_history_txt","rr_cd"
"HIA","A006","1ASPIRE","2019011","622","00085","400","001","95CFGHC9A9","9A9+000","A","9+0000","0+0000","1","ABANK OF NOVA SCOTIA","06Q"
"HIA","A006","1ASPIRE","2019011","622","00085","400","001","95CFGHC9A9","9A9+000","A","9+0000","0+0000","2","ABANKERS ACCEPTANCE","06Q"
"HIA","A006","1ASPIRE","2019011","622","00085","400","001","95CFGHC9A9","9A9+000","A","9+0000","0+0000","3","ADUE 01/17/2019","06Q"
"HIA","A006","1ASPIRE","2019011","622","00085","400","001","95CFGHC9A9","9A9+000","A","9+0000","0+0000","4","ATHESE ARE SECURITIES OF A","06Q"
"HIA","A006","1ASPIRE","2019011","622","00085","400","001","95CFGHC9A9","9A9+000","A","9+0000","0+0000","5","ARELATED ISSUER OF THIS FIRM","06Q"
"HIA","A006","1ASPIRE","2019011","622","00085","400","001","95CFGHC9B9","9B9+000","B","9+0000","0+0000","1","ABANK OF NOVA SCOTIA","06Q"
"HIA","A006","1ASPIRE","2019011","622","00085","400","001","95CFGHC9B9","9B9+000","B","9+0000","0+0000","2","ABANKERS ACCEPTANCE","06Q"
"HIA","A006","1ASPIRE","2019011","622","00085","400","001","95CFGHC9B9","9B9+000","B","9+0000","0+0000","3","ADUE 01/17/2019","06Q"
"HIA","A006","1ASPIRE","2019011","622","00741","100","001","9A100393B2","3B2+000","B","2+0000","0+0000","1","AAGF CDN GR EQTY FUND DSC","8QS"
