record_type_cd,transaction_cd,effective_dt,trade_dt,settle_dt,sor_instrument_id,qty_val,price_val,net_amt_val,principal,sor_account_id,accrued_int_val,other_fee,sec_fee_val,commission_val,transaction_type_id,transaction_type_desc,transaction_behavior_id_lookup,behavior_desc,account_capital_flow_flg,position_capital_flow_flg,capital_flow_algo_id,fee_flg,transaction_behavior_id,security_direction_flg,money_direction_flg,account_id,instrument_id,account_type_id,source_system_id,sleeve_id,trade_currency_cd,settle_currency_cd,quantity_val,principal_val,amortization_factor_val,share_trans_qty,tran_total_amt
L,BY,,,,7495200A1,232.1,1,232.1,232.1,10047,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,232.1,232.1,1,232.1,232.1
L,BY,,,,7495200A1,132.88,1,132.88,132.88,10047,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,132.88,132.88,1,132.88,132.88
L,BY,,,,7495200A1,132.88,1,132.88,132.88,10047,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,132.88,132.88,1,132.88,132.88
L,BY,,,,7495200A1,619.47,1,619.47,619.47,10047,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,619.47,619.47,1,619.47,619.47
L,BY,,,,7495200A1,619.47,1,619.47,619.47,10047,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,619.47,619.47,1,619.47,619.47
L,BY,,,,7495200A1,421.12,1,421.12,421.12,10047,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,421.12,421.12,1,421.12,421.12
L,BY,,,,7495200A1,421.12,1,421.12,421.12,10047,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,421.12,421.12,1,421.12,421.12
L,BY,,,,7495200A1,721.68,1,721.68,721.68,10002,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,721.68,721.68,1,721.68,721.68
L,BY,,,,7495200A1,721.68,1,721.68,721.68,10002,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,721.68,721.68,1,721.68,721.68
L,BY,,,,7495200A1,8.42,1,8.42,8.42,10002,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,8.42,8.42,1,8.42,8.42
L,BY,,,,7495200A1,8.42,1,8.42,8.42,10002,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,8.42,8.42,1,8.42,8.42
L,BY,,,,7495200A1,165.96,1,165.96,165.96,10002,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,165.96,165.96,1,165.96,165.96
L,BY,,,,7495200A1,165.96,1,165.96,165.96,10002,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,165.96,165.96,1,165.96,165.96
L,BY,,,,7495200A1,707.59,1,707.59,707.59,10002,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,707.59,707.59,1,707.59,707.59
L,BY,,,,7495200A1,707.59,1,707.59,707.59,10002,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,707.59,707.59,1,707.59,707.59
L,BY,,,,7495200A1,148.27,1,148.27,148.27,10002,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,148.27,148.27,1,148.27,148.27
L,BY,,,,7495200A1,148.27,1,148.27,148.27,10002,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,148.27,148.27,1,148.27,148.27
L,BY,,,,7495200A1,179.4,1,179.4,179.4,10002,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,179.4,179.4,1,179.4,179.4
L,BY,,,,7495200A1,179.4,1,179.4,179.4,10002,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,179.4,179.4,1,179.4,179.4
L,BY,,,,7495200A1,132.69,1,132.69,132.69,10002,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,132.69,132.69,1,132.69,132.69
L,BY,,,,7495200A1,132.69,1,132.69,132.69,10002,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,132.69,132.69,1,132.69,132.69
L,BY,,,,7495200A1,136.89,1,136.89,136.89,10002,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,136.89,136.89,1,136.89,136.89
L,BY,,,,7495200A1,136.89,1,136.89,136.89,10002,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,136.89,136.89,1,136.89,136.89
L,BY,,,,7495200A1,139.2,1,139.2,139.2,10002,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,139.2,139.2,1,139.2,139.2
L,BY,,,,7495200A1,139.2,1,139.2,139.2,10002,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,139.2,139.2,1,139.2,139.2
L,BY,,,,7495200A1,146.91,1,146.91,146.91,10002,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,146.91,146.91,1,146.91,146.91
L,BY,,,,7495200A1,146.91,1,146.91,146.91,10002,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,146.91,146.91,1,146.91,146.91
L,BY,,,,7495200A1,690.39,1,690.39,690.39,10002,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,690.39,690.39,1,690.39,690.39
L,BY,,,,7495200A1,690.39,1,690.39,690.39,10002,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,690.39,690.39,1,690.39,690.39
L,BY,,,,7495200A1,577.48,1,577.48,577.48,10002,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,577.48,577.48,1,577.48,577.48
L,BY,,,,7495200A1,577.48,1,577.48,577.48,10002,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,577.48,577.48,1,577.48,577.48
L,BY,,,,7495200A1,110.83,1,110.83,110.83,10002,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,110.83,110.83,1,110.83,110.83
L,BY,,,,7495200A1,110.83,1,110.83,110.83,10002,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,110.83,110.83,1,110.83,110.83
L,BY,,,,7495200A1,347.82,1,347.82,347.82,10002,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,347.82,347.82,1,347.82,347.82
L,BY,,,,7495200A1,347.82,1,347.82,347.82,10002,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,347.82,347.82,1,347.82,347.82
L,BY,,,,7495200A1,121.12,1,121.12,121.12,10002,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,121.12,121.12,1,121.12,121.12
L,BY,,,,7495200A1,121.12,1,121.12,121.12,10002,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,121.12,121.12,1,121.12,121.12
L,SL,,,,7495200A1,1911.44,1,1911.44,1911.44,10066,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,1911.44,1911.44,1,1911.44,1911.44
L,SL,,,,7495200A1,4964.09,1,4964.09,4964.09,10066,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,4964.09,4964.09,1,4964.09,4964.09
L,SL,,,,7495200A1,35.86,1,35.86,35.86,10066,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,35.86,35.86,1,35.86,35.86
L,SL,,,,7495200A1,8199.54,1,8199.54,8199.54,10066,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,8199.54,8199.54,1,8199.54,8199.54
L,SL,,,,7495200A1,1896.22,1,1896.22,1896.22,10066,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,1896.22,1896.22,1,1896.22,1896.22
L,BY,,,,314074594,1388.65,1,1388.65,1388.65,10047,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,1388.65,1388.65,1,1388.65,1388.65
L,BY,,,,314074594,1388.65,1,1388.65,1388.65,10047,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,1388.65,1388.65,1,1388.65,1388.65
L,BY,,,,314074594,380.98,1,380.98,380.98,10047,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,380.98,380.98,1,380.98,380.98
L,BY,,,,314074594,380.98,1,380.98,380.98,10047,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,380.98,380.98,1,380.98,380.98
L,BY,,,,314074593,696.71,1,696.71,696.71,10047,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,696.71,696.71,1,696.71,696.71
L,BY,,,,314074593,696.71,1,696.71,696.71,10047,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,696.71,696.71,1,696.71,696.71
L,BY,,,,314074593,26366.81,1,26366.81,26366.81,10002,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,26366.81,26366.81,1,26366.81,26366.81
L,BY,,,,314074593,26366.81,1,26366.81,26366.81,10002,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,26366.81,26366.81,1,26366.81,26366.81
L,SI,,,,17275RAR3,25000,1,25000,25000,10066,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,25000,25000,1,25000,25000
L,MA,,,,17275RAR3,25000,1,25000,25000,10066,0,0,0,0,7005,ACT_-Accounting Activity-7005,700,Cash Withdrawal,t,f,1,f,700,,f,,,2,4,-1,USD,USD,25000,25000,1,25000,25000
