property_value_id,property_type_cd,property_id,property_value_desc,firm_id,active_flg,created_program_nm,created_user_nm,created_ts,modified_program_nm,modified_user_nm,modified_ts
2451,FS,50,INSDBNK09,1,t,,,2017-02-11 12:36:33.893427,SEED,UPGRADE,2017-02-11 12:36:33.893427
5702,FS,114,OFF,1,t,SEED,UPGRADE,2018-09-05 04:18:20.336046,,,
1151,FS,24,INSDBNK09,1,t,,,2017-02-11 12:36:33.893435,SEED,UPGRADE,2017-02-11 12:36:33.893435
4552,FS,91,f,1,t,MANUAL,UPGRADE,2017-07-22 21:56:15.167588,,,
51,FS,2,0.35,1,t,,,2017-02-11 12:36:33.894154,SEED,UPGRADE,2017-02-11 12:36:33.894154
701,FS,15,10,1,t,,,2017-02-11 12:36:33.894154,SEED,UPGRADE,2017-02-11 12:36:33.894154
2075,FS,42,CM05,1,t,,,2017-02-11 12:36:33.894154,SEED,UPGRADE,2017-02-11 12:36:33.894154
401,FS,9,0.35,1,t,,,2017-02-11 12:36:33.893806,SEED,UPGRADE,2017-02-11 12:36:33.893806
2062,FS,42,TY10,1,t,,,2017-02-11 12:36:33.893806,SEED,UPGRADE,2017-02-11 12:36:33.893806
4102,FS,82,NO,1,t,SEED,ROHINIK,2017-02-11 12:36:33.893806,SEED,UPGRADE,2017-02-11 12:36:33.893806
4951,FS,99,25000,1,t,SEED,UPGRADE,2017-07-22 21:56:15.167588,,,
1851,FS,38,t,1,t,,,2017-02-11 12:36:33.893509,SEED,UPGRADE,2017-02-11 12:36:33.893509
3202,FS,66,OFF,1,t,SEED,UPGRADE,2017-02-11 12:36:33.893509,SEED,UPGRADE,2017-02-11 12:36:33.893509
4051,FS,81,YES,1,t,SEED,UPGRADE,2017-02-11 12:36:33.893509,SEED,UPGRADE,2017-02-11 12:36:33.893509
652,FS,14,0.5,1,f,,,2017-02-11 12:36:33.893509,From UI,UI,2017-04-11 18:32:44.07972
652,FS,14,0.5,1,t,From UI ,UI,2017-04-11 18:32:44.07972,,,
205,FS,5,Vertical First Vertical Last,1,t,,,2017-02-11 12:36:33.894117,SEED,UPGRADE,2017-02-11 12:36:33.894117
1502,FS,31,OFF,1,t,,,2017-02-11 12:36:33.894117,SEED,UPGRADE,2017-02-11 12:36:33.894117
2101,FS,43,0.25,1,t,,,2017-02-11 12:36:33.894117,SEED,UPGRADE,2017-02-11 12:36:33.894117
4851,FS,97,YES,1,t,SEED,UPGRADE,2017-07-22 21:56:15.167588,,,
4952,FS,99,0,1,t,SEED,UPGRADE,2017-07-22 21:56:15.167588,,,
1551,FS,32,99999999999999.9999999999,1,t,,,2017-02-11 12:36:33.89342,SEED,UPGRADE,2017-02-11 12:36:33.89342
2069,FS,42,CQ3,1,t,,,2017-02-11 12:36:33.89342,SEED,UPGRADE,2017-02-11 12:36:33.89342
